username,twhandle,postdate,content,responding,reply,retweet,like
Memleketten Haber,@MemlekettenH,2021-08-02T07:31:00.000Z,"Antalya'da villada çıkan yangın söndürüldü http://memlekettenhaber.com/genel/antalyada-villada-cikan-yangin-sonduruldu-h21656.html… @
@MemlekettenH
 aracılığıyla #COVID19 #coronavirus #corona #Kahramanmaraş #istanbul #ankara #izmir #Adana #Antalya #haber #SonDakika","Antalya'da villada çıkan yangın söndürüldü
ANTALYA (AA) - Antalya'nın Serik ilçesinde bir villanın terasında çıkan yangın hasara neden oldu.Kadriye Mahallesi 150. Sokak'ta bulunan 3 katlı bir villanın terasında başlayıp çatıya sıçrayan...
memlekettenhaber.com",,,
Ulak News,@ulaknews,2021-08-02T07:30:33.000Z,Aşısız memura her hafta test zorunluluğu... https://ulak.news/haber_asisiz-memura-her-hafta-test-zor_aydinlik_252601.html… --- #sondakika #haber #sondakikahaber #haberler,"Aşısız memura her hafta test zorunluluğu
Hükümet, aşılamaya rağmen vaka sayısında artışın devam etmesi üzerine sonbaharda izlenecek yol haritasını oluşturmak için harekete geçti. Aşıya direnci kırmak için pozitif ayrımcılık masada. Kamuda...
ulak.news",,,
Avcılar Haber Merkezi (AHM),@AvcilarHaberMer,2021-08-02T07:29:32.000Z,"#Esenyurt 'ta iki ailenin çöp dökme kavgası kamerada
https://avcilarhabermerkezi.com/esenyurt-ta-iki-ailenin-cop-dokme-kavgasi-kamerada/75580/… #haber #İstanbul","Esenyurt'ta iki ailenin çöp dökme kavgası kamerada
Esenyurt'ta iki aile arasında çöp dökme nedeniyle sopalı kavga çıktı. Ortalığın savaş alanına döndüğü kavga anları ise vatandaşların cep telefonu kamerasına yansıdı.Olay,...
avcilarhabermerkezi.com",,,
Winix Türkiye,@WinixH,2021-08-02T07:29:10.000Z,"6 büyükşehir için 3 günlük hava kirliliği tahmini...

https://iyihava.com

#gündem #hava #temizhavahaktır #havadurumu #havatahmini #temizhava #kirlihava #duman #toz #alerji #istanbul #ankara #havakirliliği #havatemizleyici #haber",,,,
Ulak News,@ulaknews,2021-08-02T07:28:07.000Z,Hürriyet Gazetesi yazarı Selvi: Meclis bakanları görevden alabilecek... https://ulak.news/haber_hurriyet-gazetesi-yazari-selvi-m_aydinlik_252599.html… --- #sondakika #haber #sondakikahaber #haberler,"Hürriyet Gazetesi yazarı Selvi: Meclis bakanları görevden alabilecek
Hürriyet Gazetesi yazarı Abdülkadir Selvi bugünkü köşe yazısında ""Meclis bakanları görevden alabilecek"" adlı yazı kaleme aldı. Selvi, ""yeni anayasayı doğru bir zeminde ve doğru bilgiler ışığında...
ulak.news",,,
Ulak News,@ulaknews,2021-08-02T07:28:07.000Z,"Altun #helpturkey kampanyasını hedef aldı: Sözde yardım kampanyası, devletimizi aciz göstermek amacıyla başlatılmıştır... https://ulak.news/haber_altun-helpturkey-kampanyasini-he_kronos_239885.html… --- #sondakika #haber #sondakikahaber #haberler","Altun #helpturkey kampanyasını hedef aldı: Sözde yardım kampanyası, devletimizi aciz göstermek...
Sosyal medyada #helpturkey etiketiyle başlayan ve milyonlarca tweet atılan kampanya Cumhurbaşkanlığı İletişim Başkanı Fahrettin Altun’un hedefi oldu. Dünyadan acil yangın | Ulak News
ulak.news",,,
Ulak News,@ulaknews,2021-08-02T07:24:08.000Z,Bakanlar Kurulu bugün toplanıyor: Aşı zorunluluğu masaya yatırılacak... https://ulak.news/haber_bakanlar-kurulu-bugun-toplaniyor_aydinlik_252598.html… --- #sondakika #haber #sondakikahaber #haberler,"Bakanlar Kurulu bugün toplanıyor: Aşı zorunluluğu masaya yatırılacak
Bakanlar Kurulu bugünkü toplantısında koronavirüs salgınına karşı alınacak tedbirleri gözden geçirecek. Toplu alanlara girişte aşı şartı önerisinin de toplantıda gündeme gelmesi bekleniyor. | Ulak...
ulak.news",,,
FundFX,@FundFX1,2021-08-02T07:23:48.000Z,"Türkiye, İmalat PMI (Tem) Verisi! 

51,30 olan karar

54,00 olarak açıklandı. 

#FundFX #EURO #dolar #DolarTL #gundem #haber #ALTIN #USD  #COVID19 #forex #signal #Traders #Petrol #SonDakika #DeltaVariant 

Giriş:http://bit.ly/3mN4Hgy
İletişim:http://bit.ly/32iOtSV",,,,
SayimerBulent,@SayimerBulent,2021-08-02T07:23:09.000Z,Görüntüler düne ait ve ACİL DESTEĞE İHTİYAÇ VAR! LÜTFEN PAYLAŞIP DESTEK OLUN… #marmarisyanıyor #havadanmüdahaleistiyoruz #Marmaris #orman #yangın #ormanyangını #acil #destek #yardım #SonDakika #haber #gündem,"0:05
172 views",,,
Ulak News,@ulaknews,2021-08-02T07:22:08.000Z,Bitlis Aydınlar Belediyesi kapalı futbol sahası yaptıracak... https://ulak.news/haber_bitlis-aydinlar-belediyesi-kapal_aydinlik_252597.html… --- #sondakika #haber #sondakikahaber #haberler,"Bitlis Aydınlar Belediyesi kapalı futbol sahası yaptıracak
Bitlis ili Aydınlar Belediye Başkanlığı, kapalı futbol sahası yapımı için ihale düzenleyecek. | Ulak News
ulak.news",,,
