username,twhandle,postdate,content,responding,reply,retweet,like
Ali Güngör,@aligingerfx,2021-08-12T07:43:41.000Z,"#haber : Yurt içi piyasalar TCMB faiz kararını bekliyor

https://finans.mynet.com/haber/detay/ekonomi/yurt-ici-piyasalar-tcmb-faiz-kararini-bekliyor/425429/… #sondakika #finans #ekonomi #limitforextr","Yurt içi piyasalar TCMB faiz kararını bekliyor
Küresel piyasalarda dün ABD'de açıklanan enflasyon verilerinin ardından karışık bir seyir izlenirken, yurt içinde bugün gözler Türkiye Cumhuriyet Merkez Bankası (TCMB) faiz kararına çevrildi.
finans.mynet.com",,,,"['haber', 'sondakika', 'finans', 'ekonomi', 'limitforextr']"
Ali Güngör,@aligingerfx,2021-08-12T07:43:40.000Z,"#haber : TCMB faiz kararı yüzde 19'da sabit mi kalacak, işte Reuters anketi! 
https://finans.mynet.com/haber/detay/ekonomi/tcmb-faiz-karari-yuzde-19-da-sabit-mi-kalacak-iste-reuters-anketi-merkez-bankasi-faiz-kararini-ne-zaman-aciklayacak/425427/… #sondakika #finans #ekonomi #limitforextr","TCMB faiz kararı yüzde 19'da sabit mi kalacak, işte Reuters anketi! Merkez Bankası faiz kararını ne...
Merkez Bankası'nın (TCMB) önümüzdeki hafta Para Politikası Kurulu (PPK) toplantısında enflasyondaki yüksek seyri gözeterek politika faizini %19 seviyesinde sabit bırakması bekleniyor. TCMB Para...
finans.mynet.com",,,,"['haber', 'sondakika', 'finans', 'ekonomi', 'limitforextr']"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:40.000Z,Bursa’nın güzellikleri tablolara ilmek ilmek işlenecek https://haberizlenim.com/bursanin-guzellikleri-tablolara-ilmek-ilmek-islenecek-21269h.htm… #haber #sondakika,"Bursa’nın güzellikleri tablolara ilmek ilmek işlenecek
Bursa'da Osmangazi Belediyesi Meslek Edindirme Kursları (OSMEK) tarafından düzenlenen ‘Goblen’ yarışması ile, Bursa’nın güzellikleri tablolara ilmek ilmek işlenecek.
haberizlenim.com",,,,"['haber', 'sondakika']"
En Kayseri,@EnKayseri,2021-08-12T07:43:40.000Z,"Tartıştığı babası tarafından bıçaklanan şahıs ağır yaralandı 

https://ift.tt/3sc3mm4

#Kayseri #Haber","Tartıştığı babası tarafından bıçaklanan şahıs ağır yaralandı - ENKayseri
KAYSERİ’NİN MELİKGAZİ İLÇESİNDE TARTIŞTIĞI BABASI TARAFINDAN YARALANAN YABANCI UYRUKLU ŞAHIS AĞIR YARALANDI.,
enkayseri.com",,,,"['Kayseri', 'Haber']"
En Kayseri,@EnKayseri,2021-08-12T07:43:39.000Z,"Mario Gavranovic, Kayseri’ye geldi 

https://ift.tt/37zVcui

#Kayseri #Haber","Mario Gavranovic, Kayseri’ye geldi - ENKayseri
YUKATEL KAYSERİSPOR'UN YENİ TRANSFERİ MARİO GAVRANOVİC KAYSERİ'YE GELDİ.,
enkayseri.com",,,,"['Kayseri', 'Haber']"
Ali Güngör,@aligingerfx,2021-08-12T07:43:39.000Z,"#haber : Dolar yeniden yükselişte! İşte ilk rakamlar

https://finans.mynet.com/galeri/haber/detay/doviz/dolar-yeniden-yukseliste-12-agustos-2021-dolar-ne-kadar-oldu-euro-ne-kadar-12-agustos-persembe-dolar-kac-tl-euro-kac-tl/425418/… #sondakika #finans #ekonomi #limitforextr","Dolar yeniden yükselişte! 12 Ağustos 2021 dolar ne kadar oldu, euro ne kadar? 12 Ağustos Perşembe...
Haftanın dördüncü günü olan 12 Ağustos Perşembe gününde yatırımcılar ve vatandaşlar piyasaları takip etmeye devam ediyor. Dolar/TL hafta boyu anlık değişimler gösterdi. Dün son olarak kırmızı ve...
finans.mynet.com",,,,"['haber', 'sondakika', 'finans', 'ekonomi', 'limitforextr']"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:35.000Z,Instagram istenmeyen mesaj ve yorumları kısıtlayacak https://haberizlenim.com/instagram-istenmeyen-mesaj-ve-yorumlari-kisitlayacak-21263h.htm… #haber #sondakika,"Instagram istenmeyen mesaj ve yorumları kısıtlayacak
Facebook'un sahibi olduğu sosyal ağ Instagram, istenmeyen mesaj ve yorumları kısıtlayacak ''Limitleri'' (Limits) kullanıma sunulacağını duyurdu. 
haberizlenim.com",,,,"['haber', 'sondakika']"
Haberizlenim.com,@haberizlenim,2021-08-12T07:43:34.000Z,Fransa’nın ardından Almanya’da da Covid-19 testleri ücretli hale geliyor https://haberizlenim.com/fransanin-ardindan-almanyada-da-covid-19-testleri-ucretli-hale-geliyor-21262h.htm… #haber #sondakika,"Fransa’nın ardından Almanya’da da Covid-19 testleri ücretli hale geliyor
Fransa örneğini izleyen Almanya da 11 Ekim’den itibaren Covid-19 testlerinin ücretli olacağını açıkladı.
haberizlenim.com",,,,"['haber', 'sondakika']"
Ali Güngör,@aligingerfx,2021-08-12T07:43:34.000Z,"#haber : Dev şirket evden çalışanların maaşını kesecek!

https://finans.mynet.com/haber/detay/ekonomi/dev-sirket-evden-calisanlarin-maasini-kesecek/425399/… #sondakika #finans #ekonomi #limitforextr","Dev şirket evden çalışanların maaşını kesecek!
Dünya devi Google’ın, koronavirüs sebebiyle evden çalışma yöntemini seçen çalışanlarının maaşlarında kesintiye gittiği açıklandı. Bu durumun Silikon Vadisi’ndeki diğer firmalar için de örnek teşkil...
finans.mynet.com",,,,"['haber', 'sondakika', 'finans', 'ekonomi', 'limitforextr']"
En Kayseri,@EnKayseri,2021-08-12T07:43:34.000Z,"Kayserispor’dan forvet transferi 

https://ift.tt/3s78WX3

#Kayseri #Haber","Kayserispor’dan forvet transferi - ENKayseri
YUKATEL KAYSERİSPOR, İSVEÇLİ FORVET MARİO GAVRANOVİC İLE ANLAŞMAYA VARDI.,
enkayseri.com",,,,"['Kayseri', 'Haber']"
