username,twhandle,postdate,content,responding,reply,retweet,like
DAЯКИESS✭☬✪ ULUSALCI FAŞİZM.,@darkns99,2021-08-02T14:01:16.000Z,"#SonDakika

Milli güreşçi Rıza Kayaalp, 2020 Tokyo Olimpiyatları'nda grekoromen Stil 130 kiloda bronz madalya kazandı.",,,1,2,['SonDakika']
Muhammet islami,@muhammetislami,2021-07-30T18:49:38.000Z,#KonyadaKatliam #SonDakika,,,,,"['KonyadaKatliam', 'SonDakika']"
Büşra Nur Daşcı,@dasc_busra,2021-07-30T06:44:23.000Z,"Manavgat'ta evi küle dönen kadının yürek yakan feryadı: ""Böyle acı mı olur Allah'ım""
#turkiyeyaniyor
#MANAVGATYANİYOR #yangın #sondakika #ADANAYANIYOR #OsmaniyeYaniyor",,,46,238,"['turkiyeyaniyor', 'MANAVGATYANİYOR', 'yangın', 'sondakika', 'ADANAYANIYOR', 'OsmaniyeYaniyor']"
LİVE HABER,@livehaber,2021-08-02T16:59:38.000Z,"TOKİ, yangın mağduru vatandaşlar için köy evleri inşa edileceğini duyurdu https://livehaber.net/gundem/toki-yangin-magduru-vatandaslar-icin-koy-evleri-insa-edilecegini-h15028.html…

#Haberler #Sondakika",,,,,"['Haberler', 'Sondakika']"
Ortanca İmam,@ImamOrtanca,2021-08-02T16:50:12.000Z,"Oyun çok büyük. Allah, devletimizin yardımcısı olsun.
#sondakika #haber #gündem #ağaç #yangın #orman #istanbul #adalar #ormanvatandır",,,1,3,"['sondakika', 'haber', 'gündem', 'ağaç', 'yangın', 'orman', 'istanbul', 'adalar', 'ormanvatandır']"
Akşunvar Haber Kanalı,@AksunvarHK,2021-07-31T13:47:58.000Z,Cumhurbaşkanı Erdoğan: Hiçbir vatandaşın mağdur olmasına müsaade etmeyeceğiz. #SonDakika #OrmanYangınları,,,5,9,"['SonDakika', 'OrmanYangınları']"
Konsey,@Konseymedya,2021-07-30T12:51:47.000Z,#sondakika  İzmir'in Ödemiş ilçesinde de orman yangını çıktığı belirtiliyor.,,,,,['sondakika']
özkan genç,@zkangen3,2021-08-02T15:11:15.000Z,"İnsan, doğanın başına gelmiş en büyük felakettir .. #turkiyeyaniyor #SonDakika",,,,1,"['turkiyeyaniyor', 'SonDakika']"
Anadolu'dan Haber Var,@AnadoluHaberr,2021-08-01T18:59:49.000Z,"#SonDakika: Bakan #Pakdemirli: ""Devam eden 8 yangınımız var, 125 yangından 117si kontrol altında.""",,,,,"['SonDakika', 'Pakdemirli']"
Konsey,@Konseymedya,2021-08-02T15:43:35.000Z,"Levent Özeren: Ve halen tek bir istifa yok.
Demokrasilerde böyle bir şeyin olması mümkün değil.
O nedenle kimse demokrasi hikayesi anlatmasın.
Anlatırsa yalandır... #sondakika",,,,1,['sondakika']
Bilinen Haberci,@BilinenHaberci,2021-08-01T18:48:28.000Z,"#milasyaniyor #SonDakika

Milas Belediye Başkanı: Ne yazık ki tüm çabalarımıza rağmen #Çökertmeyanıyor; ne #helikopter var ne #uçak…",,,2,2,"['milasyaniyor', 'SonDakika', 'Çökertmeyanıyor', 'helikopter', 'uçak']"
Akşunvar Haber Kanalı,@AksunvarHK,2021-07-30T15:14:06.000Z,"İZMİR ÖDEMİŞ YANGINI KONTROL ALTINA ALINDI.
#SonDakika #PrayForTurkey",,,7,11,"['SonDakika', 'PrayForTurkey']"
DarknetHaber #TakipEt,@Darknethaberler,2021-08-02T17:01:06.000Z,"Türkiye'de son 24 saatte 22 bin 898 vaka tespit edildi, 91 kişi hayatını kaybetti.
#TürkiyeYanıyor #helpturkey #StrongTürkiye #SonDakika",,,,,"['TürkiyeYanıyor', 'helpturkey', 'StrongTürkiye', 'SonDakika']"
Akşunvar Haber Kanalı,@AksunvarHK,2021-07-30T14:49:33.000Z,"BİNGÖL KİĞI YANGINI KONTROL ALTINA ALINDI.
#SonDakika #PrayForTurkey",,,7,10,"['SonDakika', 'PrayForTurkey']"
kronikdelii,@kkronikdeli,2021-07-30T23:08:09.000Z,#sondakika #memleketyaniyor #KoeyceğizYanıyor,,,,1,"['sondakika', 'memleketyaniyor', 'KoeyceğizYanıyor']"
Büyük Türk Haber,@BuyukTurkHaber,2021-08-02T17:15:07.000Z,"#Ankara Nallıhan'da yangın çıktığı belirtiliyor!

#Sondakika",,,,,"['Ankara', 'Sondakika']"
Konsey,@Konseymedya,2021-07-31T18:12:04.000Z,#SonDakika Taliban 3 büyük kenti ele geçirdi.,,,,,['SonDakika']
Bilinen Haberci,@BilinenHaberci,2021-08-01T19:32:01.000Z,"Marmaris İçmeler'de yürek yakan öncesi ve sonrası fotoğrafları.

#MarmarisYaniyor #marmarisyangın #sondakika",,,,,"['MarmarisYaniyor', 'marmarisyangın', 'sondakika']"
Akşunvar Haber Kanalı,@AksunvarHK,2021-07-30T22:39:31.000Z,"Azerbaycanlı sunucu Lale Azertaş, Türk halkına destek mesajı yolladı: Türkiye evimizdir, evimiz yanıyor. Bizden olmayanlar bize bunları yaşatıyor. Canın yanmasın Türkiyem. Sen güçlü ve mağlup edilmesin. #SonDakika #PrayForTurkey",,,9,21,"['SonDakika', 'PrayForTurkey']"
Xecellat36,@Xecellat361,2021-07-31T22:29:01.000Z,Kahramanmaraş da tekstil fabrikası ve geri dönüşüm fabrikası YANIYOR destek lazım #kahramanmarasyanıyor #nerdesiniz #marmarisyanıyor #sondakika #helpturkey,,,26,22,"['kahramanmarasyanıyor', 'nerdesiniz', 'marmarisyanıyor', 'sondakika', 'helpturkey']"
Anadolu'dan Haber Var,@AnadoluHaberr,2021-08-01T19:21:57.000Z,"#SonDakika: Yunanistan, Türkiye'nin suçlamalarını reddetti.",,,,,['SonDakika']
