username,twhandle,postdate,content,responding,reply,retweet,like
olay.com.tr,@OlayHaber_Bursa,2021-07-28T16:00:38.000Z,"Flaş açıklama! 'Yerli aşımız Sinovac'tan çok daha etkili'

https://olay.com.tr/flas-aciklama-yerli-asimiz-sinovactan-cok-daha-etkili-824641… #haber #sondakika #Sağlık",,,,1,"['haber', 'sondakika', 'Sağlık']"
e_srpl,@e_srpl,2021-07-28T05:26:11.000Z,"Yeminimiz var hayat ne kadar inatlaşırsan inatlaş, yine de seni en güzel yerinden yakalayacağız...
#NazımHikmet

Diren Uykum 

#Günaydın
#Çarşamba 
#BuSabah 
#sağlık #huzur #mutluluk #bereketbolluk #mucize #aşk #para",,5,4,78,"['NazımHikmet', 'Günaydın', 'Çarşamba', 'BuSabah', 'sağlık', 'huzur', 'mutluluk', 'bereketbolluk', 'mucize', 'aşk', 'para']"
Mustafa ERPOLAT,@MustafaERPOLAT,2021-07-31T07:19:18.000Z,"COVİD-19 aşımızı olalım, kendimizi ve sevdiklerimizi koruyalım.
 #covid #aşıolalım #sağlık #covid19",,,,,"['covid', 'aşıolalım', 'sağlık', 'covid19']"
Türk Karaciğer Araştırmaları Derneği,@tkadorg,2021-07-31T06:32:20.000Z,"Prof. Dr. Dinç Dinçer ve Prof. Dr. Ramazan İdilman hocalarımızdan ""Hepatit"" hakkında önemli bilgiler!

Farkında ol! Test yaptır! Tedavi ol!

#sağlık #hepatit #karaciğer #WorldHepatitisDay2021",,,1,4,"['sağlık', 'hepatit', 'karaciğer', 'WorldHepatitisDay2021']"
Şişli Etfal Dayanışması,@EtfalSmas,2021-07-31T12:57:29.000Z,""" agaç görmüş yakmışlar, kanat görmüş kırmışlar.
simdi de düşmüşler insan izine,
nerde insan, nerde ışık vurmuşlar... hasan huseyin
#saglikhakkimadokunma
#sağlik #insan #yangin #rant #yikim #etfal 
#ağacbayramı 
#YangınUcağıNEREDE 
#sağlıkbakanlığı",,,3,8,"['saglikhakkimadokunma', 'sağlik', 'insan', 'yangin', 'rant', 'yikim', 'etfal', 'ağacbayramı', 'YangınUcağıNEREDE', 'sağlıkbakanlığı']"
Yeni Mesaj Gazetesi,@yenimesaj,2021-07-31T21:32:47.000Z,"Dr. Ali Konukseven yazdı:

Zikir yapıldığında yani aynı kelimeler söylendiğinde beyinde konsantrasyon artar ve bununla birlikte beyin faaliyetleri hızlanır. 

https://yenimesaj.com.tr/zikir-sifadir-H1401620.htm…

#sağlık #pazar","Dr. Ali Konukseven: Zikir şifadır
yenimesaj.com.tr",,,8,"['sağlık', 'pazar']"
Hippopotamus_Yatırım,@m_hippopotamus,2021-08-02T11:00:57.000Z,"#LKMNH #sağlık ; 

* Laboratuvar ve eğitim araştırma dalında da güzel çalışmaları var. Uzun süredir dikkatimi çeken şirket aracı kurumların radarınada girmeye başladı.",,,,,"['LKMNH', 'sağlık']"
Urfadan Haber,@urfadanhabercom,2021-07-26T09:30:25.000Z,3 Aylık yaşam mücadelesini kaybetti https://urfadanhaber.com/haber/3-aylik-yasam-mucadelesini-kaybetti.html… #Şanlıurfa #Pazartesi #Sağlık,"3 aylık yaşam mücadelesini kaybetti
Şanlıurfa’da elektrik akımına kapılması sonucu ağır yaralanarak 3 aydır yoğun bakımda tedavi gören İsmail Altın, yaşam mücadelesini kaybetti.
urfadanhaber.com",,,,"['Şanlıurfa', 'Pazartesi', 'Sağlık']"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-07-31T10:21:01.000Z,"Belçika'dan kliniğimize geldi ve yıllardır çekmiş olduğu ızdıraplardan kurtuldu 
.
.
.
.
.
.
.
.
.
#istanbul #doktor #sağlık #aşk #bu #belgium #belgië #belgium",,,,2,"['istanbul', 'doktor', 'sağlık', 'aşk', 'bu', 'belgium', 'belgië', 'belgium']"
gaye haracci,@mediacat25,2021-07-26T14:00:49.000Z,"#Akrep Burcu #Biden #Sağlık Sorunları Yüzünden Görevden Alınabilir! 03 - 06 Temmuzda Biden'ın Tr #Venüs, #Mars ve #Satürnden olumsuz etkiler aldığından Sağlık sorunlarına dikkat çekmiştik günler ve hatta aylar önce #NFT'sini bile yapmıştık.
https://cutt.ly/CQrdyFB",,,1,6,"['Akrep', 'Biden', 'Sağlık', 'Venüs', 'Mars', 'Satürnden', 'NFT']"
Türk Dişhekimleri Birliği,@TDB_TDA,2021-07-28T08:39:03.000Z,"TÜRK DİŞHEKİMLERİ BİRLİĞİ
MERKEZ YÖNETİM VE MERKEZ DENETLEME KURULU ÜYELERİ
ATA`NIN HUZURUNDA
Haberin detayı için: http://tdb.org.tr/icerik_goster.php?Id=3828…

#turkdishekimleribirligi #türkdişhekimleribirliği #diş #sağlık #dişhekimi #tdbhaber",,,2,6,"['turkdishekimleribirligi', 'türkdişhekimleribirliği', 'diş', 'sağlık', 'dişhekimi', 'tdbhaber']"
